slug,en,fa
version,2,2
html_lang,en,fa
direction,ltr,rtl
title,Helium Park, فراخوان طراحی لوگو هلیوم پارک
page1-head, hi,  درباره هلیوم پارک
page1-p1, hi,  هلیوم پارک اولین ترامپولین پارک حرفه‌ای ایران است كه در برج مـروارید مشهد فعالیت می‌کند و به زودی شعبه دیگر آن در ایرانمال افتتاح خواهد شد. شعبه مشهد دارای دو طبقه است.
page1-p2, hi,  طبقه اول با تم جنگلی و طبقه دوم باتم ساحلی است. هر طبقه بازی‌های متفاوت خود را دارد. بازی‌ها و خدمات طبقه جنگلی شامل:
page1-p3, hi, فوتیارد، بیلیارد با پا، گلادياتور، گودال اسفنج، بسكتبال، فست فود سالم، محوطه بازی كودكان و فوتبال حبابی است.
page1-p4, hi,  بازی‌ها و خدمات طبقه ساحلی نیز شامل: ترامپولین حرفه‌ای، گودال اسفنج، والیبال، وایپ اوت،VR، پله لرزان، نينجاكروس، صخره‌نوردی، فست فود سالم و محوطه بازی کودکان است.
page1-p5, hi,  هلیوم پـارک محیطی خانوادگی دارد و برای ساختن يک روز خوب ۵ تا ۱۰۰ ساله‌ها مناسب است. اگر هنوز با هلیوم پارک آشنا نشده‌اید به اینستاگرام مجموعه سر بزنید.
page2-head, hi, قوانین:
page2-p1, hi,  هر فرد و یا شرکت، مجاز به ارسال حداکثر ۳ اثر برای شرکت در فراخوان می باشد.
page2-p2, hi,  فرمت اثر ارسالی jpg با کیفیت حداقل ۳۰۰dpi یا فایل وکتوری باشد.
page2-p3, hi,  احراز کپی بودن اثر در هر مرحله، باعث حذف شدن تمامی آثار شرکت کننده می‌شود.
page2-p4, hi,  هليـوم پـارک حق انتشار آثار را برای رای‌گیری مردمی دارد.
page2-p5, hi,  فایل آثار با توضیحات به صورت یک فایل فشرده ارسال شود.
page2-p6, hi,  طرح ارسالی می توانـد بـه صـورت تصویری نوشتاری و یا ترکیبی از هر دو باشد.
page2-p7, hi,  آخرین مهلت شرکت در مسابقه جمعه 6 اسفند 1400 می باشد.
page3-head, hi, ویژگی‌ها:
page3-p1, hi,  طرح ارسالی باید قابلیت استفاده در ابعـاد کوچک و بزرگ و همچنین فرمت های چاپی و دیجیتالی رنگی و تک رنگ را داشته باشد.
page3-p2, hi,  انرژی و هیجان هليـوم پـارک و وسیله بـازی ترامپولین را نشان دهد.
page3-p3, hi,  قابلیت استفاده در تبلیغات داخلی و خارجی را داشته باشد.
page3-p4, hi,  طرح ارسالی می توانـد بـه صـورت تصویری نوشتاری و یا ترکیبی از هر دو باشد.
page4-head, hi, داوری و جایزه:
page4-p1, hi, داوری در دو مرحله انجام می‌شود. پس از مرحله اول داوری ، 20 لوگو منتخب به داوری نهایی راه پیدا می‌کند. در این مرحله بر اساس نظرات مخاطبین هلیوم پارک، دپارتمان گرافیک موسسه فرهنگی هنری خراسان و مدیر هلیوم، طرح برگزیده انتخاب می شود. خلاقیت و ایده های نو، از مهم ترین عوامل در قضاوت خواهد بود.
page4-p2, hi, جایزه طرح برگزیده: 400.000.000 ریال
form-name, hi, نام و نام خانوادگی
form-phone, hi, تلفن همراه
form-age, hi, سن
form-city, hi, شهر
form-how, hi, نحوه آشنایی
form-info, hi, توضیحات
form-send, hi, ارسال اثر
footer-info, hi, جهت اطلاعات و آشنایی بیشتر، به اینستاگرام هلیوم پارک سربزنید و یا با شماره 09129596631 تماس بگیرید.
footer-copy-right, hi, تمامی حقوق این سایت برای هلیوم پارک محفوظ می‌باشد
